issue,date,front1,front2,front3,front4,front5,back1,back2
2011005,2011-01-10,01,07,25,27,30,07,12
2011006,2011-01-12,02,08,16,26,35,11,12
2011007,2011-01-15,14,24,32,33,35,02,09
2011008,2011-01-17,01,23,26,27,30,05,06
2011009,2011-01-19,09,10,11,14,24,03,08
2011010,2011-01-22,04,08,10,14,27,05,07
2011011,2011-01-24,02,17,23,24,30,02,09
2011012,2011-01-26,03,12,19,25,30,08,11
2011013,2011-01-29,05,08,14,28,30,04,06
2011014,2011-01-31,02,14,20,21,24,02,09
2011015,2011-02-09,08,18,19,22,23,01,03
2011016,2011-02-12,15,20,30,33,35,06,09
2011017,2011-02-14,16,19,24,26,31,02,04
2011018,2011-02-16,16,22,24,32,34,02,10
2011019,2011-02-19,08,21,23,27,33,06,11
2011020,2011-02-21,09,12,19,22,28,01,05
2011021,2011-02-23,01,09,13,17,30,02,08
2011022,2011-02-26,09,14,24,25,34,01,04
2011023,2011-02-28,05,13,16,18,24,02,12
2011024,2011-03-02,12,15,16,20,33,08,12
2011025,2011-03-05,08,09,25,28,29,02,10
2011026,2011-03-07,01,09,15,20,29,07,09
2011027,2011-03-09,05,14,25,34,35,02,05
2011028,2011-03-12,01,02,13,17,28,01,04
2011029,2011-03-14,03,09,17,24,28,06,12
2011030,2011-03-16,15,19,25,30,33,03,08
2011031,2011-03-19,12,17,19,22,35,04,11
2011032,2011-03-21,07,16,23,31,33,03,10
2011033,2011-03-23,03,19,24,29,33,03,09
2011034,2011-03-26,03,06,09,17,27,03,09
2011035,2011-03-28,03,04,13,15,32,04,09
2011036,2011-03-30,03,18,29,30,33,08,09
2011037,2011-04-02,01,12,14,22,24,10,12
2011038,2011-04-04,07,09,11,13,33,10,12
2011039,2011-04-06,01,11,14,22,34,06,08
2011040,2011-04-09,03,07,15,18,20,01,06
2011041,2011-04-11,04,05,11,13,25,03,06
2011042,2011-04-13,06,09,18,30,32,10,12
2011043,2011-04-16,02,08,23,33,35,05,10
2011044,2011-04-18,11,21,24,26,31,06,07
2011045,2011-04-20,13,21,22,29,31,07,11
2011046,2011-04-23,09,15,16,19,29,04,06
2011047,2011-04-25,02,15,22,33,35,05,08
2011048,2011-04-27,13,17,25,27,28,02,03
2011049,2011-04-30,05,06,10,22,25,01,09
2011050,2011-05-02,04,07,29,32,33,08,10
2011051,2011-05-04,06,08,12,17,18,05,10
2011052,2011-05-07,13,24,31,32,33,03,09
2011053,2011-05-09,03,16,28,31,32,01,09
2011054,2011-05-11,05,09,16,26,35,03,10
2011055,2011-05-14,01,07,31,32,35,02,10
2011056,2011-05-16,03,05,29,30,31,08,10
2011057,2011-05-18,07,11,30,31,34,09,12
2011058,2011-05-21,01,09,27,32,33,03,06
2011059,2011-05-23,09,16,21,29,34,07,10
2011060,2011-05-25,03,25,29,32,34,09,10
2011061,2011-05-28,06,07,16,18,20,04,10
2011062,2011-05-30,06,10,17,20,21,03,07
2011063,2011-06-01,10,17,18,26,32,01,05
2011064,2011-06-04,01,06,27,30,34,01,06
2011065,2011-06-06,03,11,14,25,34,01,04
2011066,2011-06-08,06,13,18,20,33,09,10
2011067,2011-06-11,10,17,22,24,32,03,10
2011068,2011-06-13,01,13,16,18,32,07,09
2011069,2011-06-15,03,05,28,29,33,04,12
2011070,2011-06-18,09,19,22,29,30,02,08
2011071,2011-06-20,27,31,33,34,35,04,06
2011072,2011-06-22,03,11,13,20,35,03,08
2011073,2011-06-25,13,19,20,22,33,05,11
2011074,2011-06-27,07,16,23,28,31,03,06
2011075,2011-06-29,06,09,20,23,28,06,10
2011076,2011-07-02,18,23,25,29,30,01,02
2011077,2011-07-04,05,08,19,33,34,01,12
2011078,2011-07-06,04,09,16,27,30,02,06
2011079,2011-07-09,01,03,23,30,31,02,10
2011080,2011-07-11,05,12,30,31,32,01,03
2011081,2011-07-13,04,13,20,21,35,02,09
2011082,2011-07-16,07,20,25,30,32,05,09
2011083,2011-07-18,06,08,18,20,24,04,08
2011084,2011-07-20,14,29,31,34,35,01,12
2011085,2011-07-23,02,17,19,21,22,03,10
2011086,2011-07-25,04,05,06,09,15,01,06
2011087,2011-07-27,06,13,20,25,34,07,09
2011088,2011-07-30,20,21,27,29,35,03,08
2011089,2011-08-01,05,06,23,27,34,03,04
2011090,2011-08-03,02,04,29,30,34,05,08
2011091,2011-08-06,11,17,23,29,30,06,08
2011092,2011-08-08,10,17,19,32,33,01,12
2011093,2011-08-10,04,06,08,19,31,10,11
2011094,2011-08-13,11,21,22,32,34,04,08
2011095,2011-08-15,09,12,17,19,29,06,11
2011096,2011-08-17,03,08,20,24,25,01,02
2011097,2011-08-20,04,19,28,31,33,11,12
2011098,2011-08-22,06,07,28,33,35,01,10
2011099,2011-08-24,02,06,09,12,20,05,08
2011100,2011-08-27,08,11,13,28,33,08,09
2011101,2011-08-29,05,12,20,28,30,03,07
2011102,2011-08-31,19,24,28,31,34,04,12
2011103,2011-09-03,03,04,26,29,34,01,03
2011104,2011-09-05,07,19,27,28,34,02,05
2011105,2011-09-07,02,11,26,32,33,05,12
2011106,2011-09-10,01,09,29,30,35,05,09
2011107,2011-09-12,02,06,18,30,32,01,08
2011108,2011-09-14,07,15,18,24,28,01,07
2011109,2011-09-17,01,11,12,22,34,08,10
2011110,2011-09-19,30,31,33,34,35,04,07
2011111,2011-09-21,02,11,13,23,31,11,12
2011112,2011-09-24,06,17,28,32,33,08,12
2011113,2011-09-26,04,05,07,10,12,04,05
2011114,2011-09-28,06,08,17,27,35,02,11
2011115,2011-10-01,17,26,30,31,35,06,11
2011116,2011-10-03,10,15,18,19,26,07,12
2011117,2011-10-05,10,12,28,32,33,03,05
2011118,2011-10-08,04,07,11,32,35,05,07
2011119,2011-10-10,04,15,20,26,31,06,12
2011120,2011-10-12,20,25,26,30,31,09,10
2011121,2011-10-15,02,03,30,31,33,03,09
2011122,2011-10-17,03,08,23,24,34,05,12
2011123,2011-10-19,10,14,18,19,35,01,06
2011124,2011-10-22,08,12,14,20,25,06,08
2011125,2011-10-24,07,10,27,34,35,10,12
2011126,2011-10-26,07,17,29,30,33,10,12
2011127,2011-10-29,01,11,22,26,29,05,08
2011128,2011-10-31,03,04,06,11,13,01,02
2011129,2011-11-02,01,07,13,18,23,04,08
2011130,2011-11-05,08,09,13,23,35,11,12
2011131,2011-11-07,03,05,12,18,33,07,11
2011132,2011-11-09,12,14,16,19,33,02,09
2011133,2011-11-12,04,11,23,26,35,03,12
2011134,2011-11-14,01,10,12,14,17,09,10
2011135,2011-11-16,06,22,29,33,35,03,12
2011136,2011-11-19,08,09,11,19,33,03,12
2011137,2011-11-21,02,15,18,23,31,01,02
2011138,2011-11-23,17,23,26,30,32,06,12
2011139,2011-11-26,04,06,10,15,16,03,04
2011140,2011-11-28,01,12,32,33,34,09,11
2011141,2011-11-30,02,11,19,22,35,10,12
2011142,2011-12-03,04,26,30,33,34,04,06
2011143,2011-12-05,08,09,12,25,33,07,10
2011144,2011-12-07,07,18,24,28,33,02,03
2011145,2011-12-10,07,15,19,24,29,04,06
2011146,2011-12-12,09,13,19,29,34,02,11
2011147,2011-12-14,01,15,16,27,28,02,07
2011148,2011-12-17,07,10,11,26,31,03,04
2011149,2011-12-19,02,07,12,29,31,03,05
2011150,2011-12-21,13,22,30,33,34,06,12
2011151,2011-12-24,07,11,14,20,27,03,10
2011152,2011-12-26,01,04,06,21,35,02,11
2011153,2011-12-28,06,22,29,30,35,03,05
2011154,2011-12-31,04,12,16,20,28,08,11
2012001,2012-01-02,07,27,28,32,33,01,12
2012002,2012-01-04,03,11,14,26,29,07,08
2012003,2012-01-07,16,22,24,33,34,03,10
2012004,2012-01-09,10,11,22,31,32,06,07
2012005,2012-01-11,01,02,29,31,33,07,12
2012006,2012-01-14,03,20,22,25,27,01,09
2012007,2012-01-16,04,05,13,17,25,07,10
2012008,2012-01-18,06,08,30,31,32,01,11
2012009,2012-01-21,06,14,20,29,35,09,10
2012010,2012-01-30,25,26,29,32,34,05,07
2012011,2012-02-01,05,19,22,29,30,02,04
2012012,2012-02-04,06,18,22,30,35,02,07
2012013,2012-02-06,07,08,11,12,24,01,02
2012014,2012-02-08,10,14,24,30,32,01,12
2012015,2012-02-11,12,13,24,26,33,06,08
2012016,2012-02-13,05,14,20,29,31,08,12
2012017,2012-02-15,06,11,22,29,34,03,12
2012018,2012-02-18,03,10,14,29,31,04,08
2012019,2012-02-20,07,09,17,30,34,01,12
2012020,2012-02-22,12,14,27,29,34,03,06
2012021,2012-02-25,10,15,21,31,34,07,08
2012022,2012-02-27,07,12,20,33,35,01,10
2012023,2012-02-29,07,09,17,29,35,09,10
2012024,2012-03-03,03,11,17,21,30,03,07
2012025,2012-03-05,01,02,05,12,27,04,07
2012026,2012-03-07,10,11,22,23,29,02,09
2012027,2012-03-10,03,10,11,22,31,05,07
2012028,2012-03-12,10,12,15,33,34,03,10
2012029,2012-03-14,04,07,08,18,29,07,10
2012030,2012-03-17,03,21,22,26,32,01,03
2012031,2012-03-19,19,21,23,25,30,03,08
2012032,2012-03-21,07,08,16,26,34,07,11
2012033,2012-03-24,08,13,19,27,32,01,08
2012034,2012-03-26,01,08,15,16,29,08,09
2012035,2012-03-28,01,04,30,32,35,08,12
2012036,2012-03-31,01,09,20,30,31,08,12
2012037,2012-04-02,09,13,27,31,35,03,10
2012038,2012-04-04,11,23,25,31,35,01,03
2012039,2012-04-07,15,21,22,24,35,01,05
2012040,2012-04-09,02,13,23,28,29,01,05
2012041,2012-04-11,01,02,13,22,23,02,10
2012042,2012-04-14,07,24,27,28,35,07,12
2012043,2012-04-16,01,06,25,31,34,03,09
2012044,2012-04-18,03,04,14,32,35,01,02
2012045,2012-04-21,05,11,17,20,28,11,12
2012046,2012-04-23,04,08,19,23,27,04,11
2012047,2012-04-25,05,07,17,30,34,03,10
2012048,2012-04-28,06,09,26,30,35,05,06
2012049,2012-04-30,09,18,22,27,31,10,12
2012050,2012-05-02,13,17,22,28,29,01,10
2012051,2012-05-05,01,02,17,18,33,05,12
2012052,2012-05-07,10,20,26,31,33,10,12
2012053,2012-05-09,11,12,26,28,31,07,12
2012054,2012-05-12,01,16,18,27,30,10,11
2012055,2012-05-14,07,22,26,32,33,01,08
2012056,2012-05-16,11,21,23,26,34,07,09
2012057,2012-05-19,01,02,14,33,34,03,05
2012058,2012-05-21,13,21,29,31,35,04,12
2012059,2012-05-23,09,13,19,21,27,03,04
2012060,2012-05-26,02,16,21,24,30,06,10
2012061,2012-05-28,05,10,14,27,33,07,09
2012062,2012-05-30,21,32,33,34,35,08,09
2012063,2012-06-02,11,25,26,29,35,01,02
2012064,2012-06-04,09,12,13,15,30,09,10
2012065,2012-06-06,10,22,28,29,34,05,11
2012066,2012-06-09,01,20,25,29,33,04,06
2012067,2012-06-11,20,22,27,30,33,01,02
2012068,2012-06-13,01,21,31,32,35,03,06
2012069,2012-06-16,02,04,22,25,34,02,11
2012070,2012-06-18,09,22,23,32,34,06,08
2012071,2012-06-20,13,23,29,31,34,06,08
2012072,2012-06-23,04,08,17,22,25,04,10
2012073,2012-06-25,18,23,29,33,34,02,07
2012074,2012-06-27,10,22,23,30,32,01,07
2012075,2012-06-30,07,09,10,18,22,05,10
2012076,2012-07-02,02,14,16,22,24,02,05
2012077,2012-07-04,10,30,32,33,34,02,03
2012078,2012-07-07,01,02,23,25,35,05,12
2012079,2012-07-09,01,05,25,32,33,01,10
2012080,2012-07-11,11,12,14,25,28,02,05
2012081,2012-07-14,10,16,17,30,35,01,08
2012082,2012-07-16,02,04,09,10,15,08,10
2012083,2012-07-18,16,19,28,29,31,05,08
2012084,2012-07-21,21,24,27,29,31,01,02
2012085,2012-07-23,07,18,29,31,33,10,12
2012086,2012-07-25,03,20,25,29,32,05,10
2012087,2012-07-28,01,06,07,21,31,04,11
2012088,2012-07-30,13,17,24,30,35,02,10
2012089,2012-08-01,06,12,21,29,32,06,11
2012090,2012-08-04,02,21,27,29,33,02,10
2012091,2012-08-06,03,10,28,31,33,01,09
2012092,2012-08-08,08,09,23,25,31,02,12
2012093,2012-08-11,02,16,21,31,33,04,11
2012094,2012-08-13,02,14,23,32,35,01,10
2012095,2012-08-15,06,09,22,27,30,08,12
2012096,2012-08-18,05,10,19,24,35,08,09
2012097,2012-08-20,09,17,24,29,32,01,02
2012098,2012-08-22,02,11,28,29,30,06,12
2012099,2012-08-25,12,18,24,25,32,02,12
2012100,2012-08-27,07,09,13,19,27,01,03
2012101,2012-08-29,02,05,08,09,31,03,07
2012102,2012-09-01,02,04,06,13,35,04,08
2012103,2012-09-03,02,09,18,23,24,01,04
2012104,2012-09-05,16,18,24,25,27,04,09
2012105,2012-09-08,05,06,14,15,31,06,08
2012106,2012-09-10,15,23,25,29,31,09,10
2012107,2012-09-12,04,07,09,22,33,01,03
2012108,2012-09-15,06,07,12,24,35,02,06
2012109,2012-09-17,01,22,30,32,35,09,11
2012110,2012-09-19,01,11,17,19,26,05,12
2012111,2012-09-22,01,24,25,30,33,04,11
2012112,2012-09-24,01,02,28,31,35,05,07
2012113,2012-09-26,03,10,22,27,29,03,12
2012114,2012-09-29,03,06,21,33,35,01,07
2012115,2012-10-01,01,06,13,19,23,06,09
2012116,2012-10-03,01,11,18,20,22,07,10
2012117,2012-10-06,01,12,18,21,33,07,08
2012118,2012-10-08,05,17,25,30,33,01,12
2012119,2012-10-10,05,06,09,19,32,06,09
2012120,2012-10-13,02,10,21,23,29,03,04
2012121,2012-10-15,07,18,20,29,30,05,06
2012122,2012-10-17,23,24,25,29,31,03,12
2012123,2012-10-20,05,08,18,30,33,01,09
2012124,2012-10-22,07,11,19,20,35,05,10
2012125,2012-10-24,06,14,17,22,35,01,02
2012126,2012-10-27,13,14,21,28,29,05,10
2012127,2012-10-29,12,13,14,25,35,10,12
2012128,2012-10-31,09,10,19,30,31,04,11
2012129,2012-11-03,01,07,21,28,31,03,09
2012130,2012-11-05,14,19,23,29,30,06,07
2012131,2012-11-07,02,16,18,27,30,08,12
2012132,2012-11-10,05,08,21,25,33,01,11
2012133,2012-11-12,05,07,13,29,30,01,05
2012134,2012-11-14,01,06,18,32,35,02,07
2012135,2012-11-17,03,05,17,18,33,06,07
2012136,2012-11-19,02,23,29,30,31,01,04
2012137,2012-11-21,03,12,20,21,27,01,06
2012138,2012-11-24,13,17,27,31,33,06,12
2012139,2012-11-26,09,10,12,22,25,04,11
2012140,2012-11-28,07,17,27,28,29,09,10
2012141,2012-12-01,03,11,19,23,34,02,12
2012142,2012-12-03,15,19,29,34,35,07,10
2012143,2012-12-05,09,27,29,30,31,03,06
2012144,2012-12-08,11,13,14,21,29,01,10
2012145,2012-12-10,05,22,31,33,35,06,09
2012146,2012-12-12,01,10,13,17,26,06,08
2012147,2012-12-15,02,03,17,19,33,02,09
2012148,2012-12-17,04,16,27,29,34,06,11
2012149,2012-12-19,02,10,23,33,34,05,10
2012150,2012-12-22,02,14,18,24,31,02,03
2012151,2012-12-24,03,19,20,24,33,03,04
2012152,2012-12-26,04,17,26,33,34,02,08
2012153,2012-12-29,08,09,10,13,22,05,10
2012154,2012-12-31,03,26,27,31,32,03,09
2013001,2013-01-02,06,09,11,31,32,05,11
2013002,2013-01-05,04,20,27,31,32,06,12
2013003,2013-01-07,01,16,18,21,31,09,12
2013004,2013-01-09,07,08,12,20,25,03,07
2013005,2013-01-12,18,22,26,28,31,10,12
2013006,2013-01-14,08,20,25,31,32,05,07
2013007,2013-01-16,14,29,32,33,34,03,06
2013008,2013-01-19,02,07,25,29,34,03,06
2013009,2013-01-21,10,17,19,27,29,05,12
2013010,2013-01-23,09,15,17,18,29,09,11
2013011,2013-01-26,01,02,08,15,23,06,09
2013012,2013-01-28,01,14,31,32,34,02,11
2013013,2013-01-30,13,15,29,30,35,01,11
2013014,2013-02-02,05,08,25,29,31,02,04
2013015,2013-02-04,14,15,26,32,33,01,11
2013016,2013-02-06,05,15,19,27,32,08,09
2013017,2013-02-16,11,14,22,29,34,05,11
2013018,2013-02-18,20,23,31,33,34,03,09
2013019,2013-02-20,06,12,17,29,30,07,11
2013020,2013-02-23,06,11,20,31,32,05,09
2013021,2013-02-25,23,24,28,30,33,01,11
2013022,2013-02-27,03,04,13,17,23,03,08
2013023,2013-03-02,05,19,24,26,35,05,07
2013024,2013-03-04,09,12,14,18,24,01,04
2013025,2013-03-06,03,23,25,26,28,10,12
2013026,2013-03-09,02,10,16,30,33,05,06
2013027,2013-03-11,03,12,14,24,35,03,08
2013028,2013-03-13,13,19,28,30,34,08,12
2013029,2013-03-16,05,07,17,25,26,04,10
2013030,2013-03-18,03,05,09,10,28,05,07
2013031,2013-03-20,12,17,18,26,32,10,11
2013032,2013-03-23,12,27,28,33,35,01,08
2013033,2013-03-25,12,18,22,28,31,01,11
2013034,2013-03-27,01,03,11,19,29,04,08
2013035,2013-03-30,05,14,28,32,34,07,08
2013036,2013-04-01,08,12,32,33,35,03,05
2013037,2013-04-03,02,26,31,32,34,06,08
2013038,2013-04-06,01,19,24,25,26,07,09
2013039,2013-04-08,06,23,30,33,35,07,10
2013040,2013-04-10,16,17,22,26,35,03,10
2013041,2013-04-13,03,13,14,15,34,05,08
2013042,2013-04-15,02,06,22,23,33,01,06
2013043,2013-04-17,07,13,25,34,35,07,09
2013044,2013-04-20,07,11,13,18,28,05,10
2013045,2013-04-22,08,11,12,21,25,02,07
2013046,2013-04-24,15,16,19,25,32,05,11
2013047,2013-04-27,12,20,28,30,35,03,11
2013048,2013-04-29,10,11,23,32,33,01,04
2013049,2013-05-01,18,22,25,31,32,04,06
2013050,2013-05-04,14,22,30,32,33,07,08
2013051,2013-05-06,05,08,15,18,33,07,08
2013052,2013-05-08,01,02,10,29,31,01,10
2013053,2013-05-11,13,31,33,34,35,05,07
2013054,2013-05-13,05,08,21,30,32,01,08
2013055,2013-05-15,04,05,22,23,24,03,09
2013056,2013-05-18,11,22,30,32,35,03,04
2013057,2013-05-20,07,15,27,33,35,07,10
2013058,2013-05-22,20,21,27,31,35,07,11
2013059,2013-05-25,03,08,11,24,27,07,12
2013060,2013-05-27,15,25,26,32,35,05,10
2013061,2013-05-29,01,14,18,21,32,05,10
2013062,2013-06-01,01,05,08,09,12,09,12
2013063,2013-06-03,03,05,11,27,28,05,06
2013064,2013-06-05,21,24,26,28,32,01,03
2013065,2013-06-08,09,28,31,34,35,02,09
2013066,2013-06-10,06,07,13,33,34,02,11
2013067,2013-06-12,02,03,05,08,29,10,12
2013068,2013-06-15,10,17,27,34,35,05,07
2013069,2013-06-17,06,12,13,16,30,07,12
2013070,2013-06-19,09,12,18,21,29,01,08
2013071,2013-06-22,13,19,26,27,28,03,11
2013072,2013-06-24,12,27,28,33,35,03,05
2013073,2013-06-26,03,05,23,27,31,02,06
2013074,2013-06-29,06,14,20,24,32,01,07
2013075,2013-07-01,01,11,13,19,35,07,08
2013076,2013-07-03,13,15,16,26,27,09,10
2013077,2013-07-06,24,26,30,32,35,06,12
2013078,2013-07-08,02,07,23,31,33,02,08
2013079,2013-07-10,09,10,17,21,34,01,07
2013080,2013-07-13,06,21,23,27,31,04,06
2013081,2013-07-15,07,09,15,17,23,02,07
2013082,2013-07-17,03,09,25,26,33,03,12
2013083,2013-07-20,26,29,30,32,35,04,10
2013084,2013-07-22,08,22,26,29,35,01,05
2013085,2013-07-24,08,19,23,27,32,03,05
2013086,2013-07-27,09,16,26,29,31,06,09
2013087,2013-07-29,09,12,22,32,34,02,04
2013088,2013-07-31,03,05,08,33,35,01,03
2013089,2013-08-03,06,07,23,24,29,04,11
2013090,2013-08-05,02,26,30,31,33,11,12
2013091,2013-08-07,04,09,28,34,35,02,08
2013092,2013-08-10,07,10,21,27,33,03,09
2013093,2013-08-12,01,05,17,18,26,05,07
2013094,2013-08-14,03,28,33,34,35,06,09
2013095,2013-08-17,03,17,28,30,33,01,10
2013096,2013-08-19,17,19,20,22,26,06,08
2013097,2013-08-21,07,08,13,17,32,03,08
2013098,2013-08-24,02,06,16,29,34,10,11
2013099,2013-08-26,04,11,28,30,33,05,12
2013100,2013-08-28,09,12,24,26,30,05,09
2013101,2013-08-31,04,09,13,15,32,02,09
2013102,2013-09-02,06,12,15,19,26,02,11
2013103,2013-09-04,05,08,13,16,31,03,09
2013104,2013-09-07,02,05,11,27,29,01,11
2013105,2013-09-09,07,13,27,30,34,01,12
2013106,2013-09-11,06,07,12,13,27,03,12
2013107,2013-09-14,07,13,14,18,25,05,12
2013108,2013-09-16,05,10,13,15,18,02,11
2013109,2013-09-18,13,20,26,29,32,02,06
2013110,2013-09-21,07,16,18,32,33,02,07
2013111,2013-09-23,07,12,13,20,27,01,03
2013112,2013-09-25,02,10,20,22,29,05,12
2013113,2013-09-28,19,21,23,28,30,08,12
2013114,2013-09-30,06,17,21,23,33,01,09
2013115,2013-10-02,05,16,29,32,34,04,11
2013116,2013-10-05,13,22,23,30,33,09,11
2013117,2013-10-07,05,16,23,25,33,07,12
2013118,2013-10-09,04,06,11,20,31,01,05
2013119,2013-10-12,01,02,16,23,35,01,11
2013120,2013-10-14,06,14,15,22,26,03,11
2013121,2013-10-16,03,18,19,20,24,03,12
2013122,2013-10-19,15,17,20,24,35,04,12
2013123,2013-10-21,02,09,10,33,34,05,12
2013124,2013-10-23,05,07,18,21,32,10,11
2013125,2013-10-26,04,08,14,23,28,04,08
2013126,2013-10-28,09,10,15,18,30,03,06
2013127,2013-10-30,03,14,16,19,32,05,10
2013128,2013-11-02,11,13,27,33,35,01,02
2013129,2013-11-04,11,23,29,30,33,01,04
2013130,2013-11-06,08,09,15,19,30,06,09
2013131,2013-11-09,12,15,29,30,31,04,12
2013132,2013-11-11,23,26,28,31,34,02,10
2013133,2013-11-13,02,08,10,16,17,09,12
2013134,2013-11-16,02,13,19,23,32,02,09
2013135,2013-11-18,04,13,19,25,26,07,12
2013136,2013-11-20,05,11,15,25,28,05,11
2013137,2013-11-23,04,12,32,33,34,06,08
2013138,2013-11-25,03,08,13,17,24,07,09
2013139,2013-11-27,05,06,18,20,31,06,07
2013140,2013-11-30,01,12,17,26,28,01,06
2013141,2013-12-02,05,15,18,25,31,08,10
2013142,2013-12-04,06,11,25,28,29,04,12
2013143,2013-12-07,03,08,14,21,31,06,08
2013144,2013-12-09,03,20,21,23,35,02,08
2013145,2013-12-11,02,13,15,18,20,02,11
2013146,2013-12-14,06,07,15,25,31,01,09
2013147,2013-12-16,03,09,22,24,25,05,09
2013148,2013-12-18,02,05,09,29,32,03,07
2013149,2013-12-21,06,07,08,09,13,05,07
2013150,2013-12-23,06,07,14,18,22,08,11
2013151,2013-12-25,02,13,21,27,30,03,04
2013152,2013-12-28,09,12,14,18,19,03,09
2013153,2013-12-30,04,05,16,17,30,03,09
2014001,2014-01-01,05,13,20,23,29,08,11
2014002,2014-01-04,01,12,21,24,29,01,07
2014003,2014-01-06,07,11,13,21,33,05,06
2014004,2014-01-08,07,10,19,27,28,09,12
2014005,2014-01-11,15,17,18,29,33,04,08
2014006,2014-01-13,01,04,07,16,35,06,08
2014007,2014-01-15,08,11,14,21,32,03,11
2014008,2014-01-18,11,13,20,28,35,01,05
2014009,2014-01-20,10,18,25,29,33,07,08
2014010,2014-01-22,05,10,20,26,27,01,03
2014011,2014-01-25,04,06,14,24,35,07,12
2014012,2014-01-27,09,20,21,23,29,05,07
2014013,2014-01-29,10,11,13,22,28,04,12
2014014,2014-02-08,01,09,11,27,29,03,11
2014015,2014-02-10,04,06,18,20,30,05,07
2014016,2014-02-12,04,06,13,24,34,04,09
2014017,2014-02-15,05,10,11,23,34,01,10
2014018,2014-02-17,08,09,12,28,34,02,12
2014019,2014-02-19,07,12,22,29,32,11,12
2014020,2014-02-22,01,14,17,30,35,06,07
2014021,2014-02-24,06,10,17,23,24,03,09
2014022,2014-02-26,03,06,10,16,25,10,11
2014023,2014-03-01,04,13,15,29,33,05,09
2014024,2014-03-03,07,11,15,31,32,06,11
2014025,2014-03-05,19,20,27,32,34,06,08
2014026,2014-03-08,05,10,12,15,26,04,08
2014027,2014-03-10,09,10,24,28,29,10,12
2014028,2014-03-12,03,10,20,25,30,10,12
2014029,2014-03-15,03,21,22,23,35,05,09
2014030,2014-03-17,03,14,18,29,35,11,12
2014031,2014-03-19,06,15,27,32,33,03,04
2014032,2014-03-22,02,05,06,09,31,02,09
2014033,2014-03-24,01,07,08,28,29,04,08
2014034,2014-03-26,03,11,14,27,32,05,07
2014035,2014-03-29,09,12,14,28,29,03,10
2014036,2014-03-31,01,02,12,17,29,03,08
2014037,2014-04-02,03,04,08,19,34,02,04
2014038,2014-04-05,07,08,12,20,32,03,05
2014039,2014-04-07,02,05,11,15,20,08,11
2014040,2014-04-09,12,15,21,30,33,02,08
2014041,2014-04-12,05,07,11,15,18,05,12
2014042,2014-04-14,16,21,25,27,35,06,11
2014043,2014-04-16,01,11,23,29,30,01,12
2014044,2014-04-19,22,23,25,27,35,03,11
2014045,2014-04-21,06,10,12,16,30,02,11
2014046,2014-04-23,03,15,18,21,26,01,06
2014047,2014-04-26,06,17,18,30,34,06,12
2014048,2014-04-28,01,02,05,15,35,01,11
2014049,2014-04-30,03,15,17,22,31,03,05
2014050,2014-05-03,10,18,27,28,35,01,06
2014051,2014-05-05,01,07,11,29,30,03,11
2014052,2014-05-07,14,19,21,24,30,02,07
2014053,2014-05-10,02,11,17,27,30,03,04
2014054,2014-05-12,02,03,20,25,34,01,12
2014055,2014-05-14,04,23,26,27,35,10,11
2014056,2014-05-17,12,18,28,29,35,07,08
2014057,2014-05-19,08,10,20,27,33,01,09
2014058,2014-05-21,09,15,22,24,26,02,07
2014059,2014-05-24,07,15,17,25,29,04,11
2014060,2014-05-26,12,22,29,30,34,05,11
2014061,2014-05-28,04,11,17,20,29,06,10
2014062,2014-05-31,04,07,17,24,25,02,04
2014063,2014-06-02,11,17,21,23,34,03,04
2014064,2014-06-04,08,15,33,34,35,01,08
2014065,2014-06-07,07,12,19,31,33,07,12
2014066,2014-06-09,08,14,16,20,31,03,11
2014067,2014-06-11,03,18,23,24,31,03,07
2014068,2014-06-14,05,15,24,29,35,05,06
2014069,2014-06-16,16,22,27,29,31,02,09
2014070,2014-06-18,01,02,07,10,32,04,12
2014071,2014-06-21,04,14,15,22,23,01,07
2014072,2014-06-23,17,19,22,24,30,02,09
2014073,2014-06-25,04,05,07,13,35,05,06
2014074,2014-06-28,06,11,22,27,30,05,11
2014075,2014-06-30,05,07,29,32,35,04,10
2014076,2014-07-02,05,10,19,31,32,09,10
2014077,2014-07-05,09,16,26,31,32,01,05
2014078,2014-07-07,10,15,16,22,28,04,05
2014079,2014-07-09,09,10,20,31,32,06,10
2014080,2014-07-12,17,20,23,25,27,03,10
2014081,2014-07-14,03,05,08,10,25,09,12
2014082,2014-07-16,01,08,18,23,25,08,12
2014083,2014-07-19,18,20,24,33,35,05,10
2014084,2014-07-21,02,07,09,11,28,05,09
2014085,2014-07-23,06,12,13,25,29,11,12
2014086,2014-07-26,06,08,27,29,35,03,09
2014087,2014-07-28,04,07,31,33,35,09,10
2014088,2014-07-30,07,13,20,25,26,08,11
2014089,2014-08-02,02,08,12,29,30,07,12
2014090,2014-08-04,02,03,20,23,28,06,08
2014091,2014-08-06,10,16,18,29,32,02,07
2014092,2014-08-09,02,18,27,30,32,05,11
2014093,2014-08-11,03,08,30,32,34,09,11
2014094,2014-08-13,13,14,24,25,34,04,07
2014095,2014-08-16,06,22,30,31,34,05,06
2014096,2014-08-18,03,07,21,23,31,05,10
2014097,2014-08-20,03,15,20,21,23,07,09
2014098,2014-08-23,16,18,22,25,35,03,10
2014099,2014-08-25,15,21,22,23,33,01,07
2014100,2014-08-27,02,04,08,12,35,01,07
2014101,2014-08-30,09,10,12,17,28,03,11
